model,memory_dim,order,switch,phase_filter,prior,n_files,mean_n_used,info_mean_bits,info_std_bits,info_se_bits,info_mean_nats,info_std_nats,tv_mean
L,8,AB,25,all,empirical,10,14000.0,0.146096878763554,0.1116706470161516,0.03531335923557249,0.1012666396035656,0.07740419413055034,0.24532071420132814
L,8,AB,25,all,uniform,10,14000.0,0.15688012946872879,0.11919140643466036,0.037691632185237606,0.10874101942712855,0.08261718731715936,0.24532071420132814
L,8,BA,30,all,empirical,10,14000.0,0.20031499788524415,0.08704524997922683,0.027526124943308108,0.1388477760080284,0.06033516960423671,0.309851547727625
L,8,BA,30,all,uniform,10,14000.0,0.20602207042246157,0.08937244429366223,0.0282620484024491,0.14280361724645171,0.06194825778190275,0.309851547727625
I,8,AB,25,all,empirical,10,14000.0,6.508585919512471e-19,6.493873479517219e-18,2.0535431032237203e-18,4.511407979542228e-19,4.501210093240362e-18,0.0
I,8,AB,25,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
I,8,BA,30,all,empirical,10,14000.0,2.346760800752073e-18,7.207823126212257e-18,2.2793138050466028e-18,1.6266506324898984e-18,4.996082277908797e-18,0.0
I,8,BA,30,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,AB,25,all,empirical,10,14000.0,-5.822699637044722e-19,8.207486630956831e-18,2.595435161920542e-18,-4.0359878366649664e-19,5.688996217731171e-18,0.0
M,8,AB,25,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,BA,30,all,empirical,10,14000.0,5.42113438143226e-18,8.991916006820771e-18,2.843493511047978e-18,3.757644011926354e-18,6.23272122795966e-18,0.0
M,8,BA,30,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,AB,25,all,empirical,10,14000.0,-1.1075501058027098e-18,4.757772406396281e-18,1.504539739291251e-18,-7.676952331660175e-19,3.2978365292394882e-18,0.0
M,16,AB,25,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,BA,30,all,empirical,10,14000.0,2.0444524654678556e-18,5.9905052776435935e-18,1.8943641012613108e-18,1.4171064622278731e-18,4.152301843328129e-18,0.0
M,16,BA,30,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,AB,25,all,empirical,10,14000.0,-7.503610729131216e-19,4.9339667194188145e-18,1.5602572732832382e-18,-5.201106620916658e-19,3.4199651205417535e-18,0.0
M,32,AB,25,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,BA,30,all,empirical,10,14000.0,3.3187419023910688e-18,8.082577278353412e-18,2.5559353563921536e-18,2.3003765926485186e-18,5.602415652148543e-18,0.0
M,32,BA,30,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,AB,25,all,empirical,10,14000.0,3.0470354510812556e-19,6.944305784868847e-18,2.1959823048868798e-18,2.1120440319831722e-19,4.81342597572796e-18,0.0
M,64,AB,25,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,BA,30,all,empirical,10,14000.0,-5.171625699658683e-20,7.832101178028634e-18,2.4767278587458394e-18,-3.584697772629749e-20,5.428798849410774e-18,0.0
M,64,BA,30,all,uniform,10,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
