model,memory_dim,order,switch,phase_filter,outcome,prior,n_files,mean_n_used,info_mean_bits,info_std_bits,info_se_bits,info_mean_nats,info_std_nats,tv_mean,support_any_goal_frac
L,8,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.044010831349192606,0.12391304347826086
L,8,AB,25,1,goal3,uniform,10,9200.0,0.040977942229607156,0.045334939935070616,0.014336166778174913,0.028403745121600515,0.031423785796848666,0.044010831349192606,0.12391304347826086
L,8,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.04379023867509574,0.11219512195121953
L,8,BA,30,1,goal3,uniform,10,8200.0,0.04267283532648741,0.03288879994323178,0.010400351733022891,0.029578555493053584,0.022796778952651198,0.04379023867509574,0.11219512195121953
I,8,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.04022261607170442,0.08043478260869565
I,8,AB,25,1,goal3,uniform,10,9200.0,0.04022261606863735,0.030700120404112224,0.009708230491840351,0.02788019292272112,0.021279701900961238,0.04022261607170442,0.08043478260869565
I,8,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.05497078138358288,0.09024390243902439
I,8,BA,30,1,goal3,uniform,10,8200.0,0.054970781380069854,0.07599523736426123,0.024031804139619656,0.03810284212677256,0.05267588451502148,0.05497078138358288,0.09024390243902439
M,8,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.017709436068170444,0.03913043478260869
M,8,AB,25,1,goal3,uniform,10,9200.0,0.017709436066710233,0.009786729908974565,0.003094835735725198,0.012275245678946806,0.006783644243307409,0.017709436068170444,0.03913043478260869
M,8,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.01584626881426072,0.039024390243902446
M,8,BA,30,1,goal3,uniform,10,8200.0,0.015846268812807145,0.021508022946302947,0.006801434047748269,0.010983796549992266,0.014908225464648496,0.01584626881426072,0.039024390243902446
M,16,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.025354293041368003,0.04782608695652174
M,16,AB,25,1,goal3,uniform,10,9200.0,0.025354293039602398,0.007753346003983578,0.002451823285995304,0.017574256735491046,0.005374209922566935,0.025354293041368003,0.04782608695652174
M,16,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.04396574191484914,0.07073170731707318
M,16,BA,30,1,goal3,uniform,10,8200.0,0.043965741912164444,0.05374051714638499,0.016994243681790897,0.030474730047643013,0.037250087941850155,0.04396574191484914,0.07073170731707318
M,32,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0444554761648037,0.14347826086956522
M,32,AB,25,1,goal3,uniform,10,9200.0,0.04445547615972997,0.02204382088959086,0.006970868234390623,0.030814187960566692,0.015279612298388331,0.0444554761648037,0.14347826086956522
M,32,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.025672693521144936,0.05365853658536586
M,32,BA,30,1,goal3,uniform,10,8200.0,0.02567269351914952,0.02210917774373697,0.006991535886371135,0.017794955130178067,0.01532491421756997,0.025672693521144936,0.05365853658536586
M,64,AB,25,1,goal3,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.07340320126473963,0.1978260869565217
M,64,AB,25,1,goal3,uniform,10,9200.0,0.07340320125752478,0.07508181789858455,0.023742955542552426,0.05087922199572752,0.05204275038771911,0.07340320126473963,0.1978260869565217
M,64,BA,30,1,goal3,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.03993730967495326,0.06829268292682927
M,64,BA,30,1,goal3,uniform,10,8200.0,0.03993730967231794,0.036121526528201164,0.011422629639131002,0.027682433598516614,0.025037534270543903,0.03993730967495326,0.06829268292682927
