model,memory_dim,order,switch,phase_filter,outcome,prior,n_files,mean_n_used,info_mean_bits,info_std_bits,info_se_bits,info_mean_nats,info_std_nats,tv_mean,support_any_goal_frac
L,8,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.04268815647817185,0.12391304347826086
L,8,AB,25,1,target_hit,uniform,10,9200.0,0.037206208786435505,0.03954630597814832,0.012505639993688167,0.025789378719642438,0.027411410490314418,0.04268815647817185,0.12391304347826086
L,8,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.042526664694493746,0.11219512195121953
L,8,BA,30,1,target_hit,uniform,10,8200.0,0.03695234300717528,0.024513705196238505,0.0077519142310018534,0.025613412370507554,0.0169916056418504,0.042526664694493746,0.11219512195121953
I,8,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.04022261607170442,0.08043478260869565
I,8,AB,25,1,target_hit,uniform,10,9200.0,0.034051825574349714,0.020985370631366136,0.006636156873792273,0.023602926889779538,0.014545950486136917,0.04022261607170442,0.08043478260869565
I,8,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.05497078138358288,0.09024390243902439
I,8,BA,30,1,target_hit,uniform,10,8200.0,0.046242770235960524,0.0612720308027978,0.019375917420083627,0.0320530458103374,0.04247053539814141,0.05497078138358288,0.09024390243902439
M,8,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.017709436068170444,0.03913043478260869
M,8,AB,25,1,target_hit,uniform,10,9200.0,0.016325718022563933,0.009306478390785395,0.002942966871002042,0.011316125417956874,0.006450759257514954,0.017709436068170444,0.03913043478260869
M,8,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.01584626881426072,0.039024390243902446
M,8,BA,30,1,target_hit,uniform,10,8200.0,0.013353320500159532,0.017727153576372855,0.005605818173293787,0.009255816455798899,0.012287526520815995,0.01584626881426072,0.039024390243902446
M,16,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.025354293041368003,0.04782608695652174
M,16,AB,25,1,target_hit,uniform,10,9200.0,0.023552233502045477,0.005960627404583466,0.001884915888210172,0.01632516424783231,0.004131592079855374,0.025354293041368003,0.04782608695652174
M,16,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.04396574191484914,0.07073170731707318
M,16,BA,30,1,target_hit,uniform,10,8200.0,0.041935262399232474,0.049789795122003204,0.015744915681867127,0.029067308898069476,0.034511656109473834,0.04396574191484914,0.07073170731707318
M,32,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0444554761648037,0.14347826086956522
M,32,AB,25,1,target_hit,uniform,10,9200.0,0.03748623875858238,0.017530637749274967,0.0055436744123036705,0.025983480705308315,0.012151312129327687,0.0444554761648037,0.14347826086956522
M,32,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.025672693521144936,0.05365853658536586
M,32,BA,30,1,target_hit,uniform,10,8200.0,0.023811735143569962,0.02012029950492431,0.006362597364031904,0.016505037079005684,0.013946328873859949,0.025672693521144936,0.05365853658536586
M,64,AB,25,1,target_hit,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.07340320126473963,0.1978260869565217
M,64,AB,25,1,target_hit,uniform,10,9200.0,0.06207125581110891,0.05947366599368061,0.018807224534013203,0.043024515959285255,0.04122400390108361,0.07340320126473963,0.1978260869565217
M,64,BA,30,1,target_hit,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.03993730967495326,0.06829268292682927
M,64,BA,30,1,target_hit,uniform,10,8200.0,0.0359540974652046,0.03237121778943328,0.01023667788479701,0.024921481287584042,0.022438018342037624,0.03993730967495326,0.06829268292682927
